Image,Rating,Name,Price
https://www.google.com/maps/vt/data=VGuGOhcBm2zCUJwF1bmEhonH19LFx7Zmb19qFjg5YVN4KtCpsvAQMV04jUOBnL4UXRk9gkErXkxf1W0SlQjljiGj9QbK8AmJF6Is6ca-6SeehmlnPCqrtyao9cmtezEPZt0pYkKpc77RxSWvGcT1i7A23g,4.1,R V Marriage Hall,₹12030
https://lh5.googleusercontent.com/p/AF1QipPLsw54Em6Z-UwCz2WugxRB9JyVBU9IDbDIHHZK=w112-h112-n-k-no,4,KP Convention Hall,₹12031
https://lh5.googleusercontent.com/p/AF1QipOmH-myznL55pp5j2c29sVpDrcaHBRyQ7kbxcXJ=w112-h112-n-k-no,4,Akshaya Convention Hall,₹12032
https://lh5.googleusercontent.com/p/AF1QipPnDWSlbwdgSw3TitnOqdT9FW9x8jQoLB5WGbfb=w112-h112-n-k-no,4,Yashwini Party And Convention Hall,₹12033
https://lh5.googleusercontent.com/p/AF1QipNoyxXAG4ZeYuXGL4G3CNQTxyElV6YqmuWFC0oR=w112-h112-n-k-no,4,Gowramma Govinda Swamy convention Hall,₹12034
https://lh5.googleusercontent.com/p/AF1QipM90vciYgIyKIn5nZlh0fVjMVyZc3NCSxLgp2cv=w112-h112-n-k-no,4,K P Kalyan Mantappa,₹12035
https://lh5.googleusercontent.com/p/AF1QipPK00iJQgdJwOSjSKKx43Fj7i6bvJeD0_gDCHd9=w112-h112-n-k-no,4,Mahaveer Bhavan,₹12036
https://lh5.googleusercontent.com/p/AF1QipMKsrz_SMtMtgraxwkqr3DjAMcjufaBG_2Jq4BO=w112-h112-n-k-no,4,Shubhodaya Kalyana Mantapa,₹12037
https://lh5.googleusercontent.com/p/AF1QipNnSG6FRo56qEWGfka9X3S-_pM-BaotrFGEY13F=w112-h112-n-k-no,4,KPTCL SAMUDAYA BHAVAN,₹12038
https://lh5.googleusercontent.com/p/AF1QipMdbCfepmzazwZhfEAfbJ3VzX8MmCJ5e4f_jyY=w112-h112-n-k-no,4,Sadana Convention Hall,₹12039
https://lh5.googleusercontent.com/p/AF1QipOvLrzH5cClYt16tRWCMBTU_j3xf8stBrzIYMWv=w112-h112-n-k-no,4,Shri Bharathi Kalyana Mantapa,₹12040
https://lh5.googleusercontent.com/p/AF1QipPIOfZ7LnZyMN4Ot6fyL6lxtrQLn4cIPcVMEU6R=w112-h112-n-k-no,4,Gayathri Guru Bhavana Mantapa,₹12041
https://lh5.googleusercontent.com/p/AF1QipOnN31pCulZ8dQ1csPBQAzeEqX3rjIGAZ4GFMbP=w112-h112-n-k-no,3.9,S G Convention Hall,₹12042
https://lh5.googleusercontent.com/p/AF1QipMtYl3e3eunkeaLLQFrm0PvX8smrwo5cLPInmIc=w112-h112-n-k-no,3.9,“KSHEERA CONVENTION HALL”,₹12043
https://lh5.googleusercontent.com/p/AF1QipOZliwKC4Cq5csgAzDimbpV_sluh2wbpojLwIro=w112-h112-n-k-no,3.9,DSM HALL,₹12044
https://lh5.googleusercontent.com/p/AF1QipNrh_MjPAb7KGxixkbZx3J9tM9DnZVevFP5aHvX=w112-h112-n-k-no,3.9,Kanaka Bhavana,₹12045
https://lh5.googleusercontent.com/p/AF1QipPpqsNJG6YZaqSujH5QcQxvVXRK8WmlNR2w2A_-=w112-h112-n-k-no,3.9,Gomati Kalyana Mantapa,₹12046
https://lh5.googleusercontent.com/p/AF1QipM9h74w-7DKrrhfXrAMS5Hj_xJZ_xnBl_cJjSSk=w112-h112-n-k-no,3.9,Tanvi Trisha Kalyana Mantapa,₹12047
https://lh5.googleusercontent.com/p/AF1QipPNvztfzyRAtifWilQceoW3o3XZQFQTzyaCMTzv=w112-h112-n-k-no,3.9,Madina Shadi mahal (Madeena Shadi Mahal),₹12048
https://lh5.googleusercontent.com/p/AF1QipO6QYAtKij7lqIhihytzqFavJOYXLwStf0TQr48=w112-h112-n-k-no,3.9,Smt. Rajamma & Sri Channaveerappa Kalyana Mantapa,₹12049
https://lh5.googleusercontent.com/p/AF1QipPvXCI3UQltDyqfvzj4xxyGb-RQid6c1GuLe8Qv=w112-h112-n-k-no,3.9,Thirumala Kalyana Mantapa,₹12050
https://lh5.googleusercontent.com/p/AF1QipPXhswgSU706kGh9A8aZmNQTsJfq5-BnKGR25yB=w112-h112-n-k-no,3.9,Sri Gururaja Kalyana Mantapa,₹12051
https://www.google.com/maps/vt/data=bP1xz6bVqV-et-5ONg-kQLwBe7gNvewanc6NZMKJgOYyL3pOTjFLpm01AaT9CJ65JsBdBgBYWc0DkK0cJl3ZSdEuiB-4CpOEclfu1C1cO6FHGsnLqxnOGU-iC2uxoQdKczYkgxiqLQMhyBkw-KdeGHAjbQ,3.9,Banashankari Kalyan Mantapa,₹12052
